"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","25282","verify order completion flow with data set 1-JohnDoe 60543","chromium","2026-05-24","passed","2026-05-24","checkout flow test - reading CSV file single data","saucedemo\checkout-csv-data-driven.spec.ts","",""
"","11625","Remove product by name and verify cart count","chromium","2026-05-24","passed","2026-05-24","product page tests","saucedemo\products.spec.ts","",""
"","27422","verify order completion flow with data set 3-AliceJohnson 67890","chromium","2026-05-24","passed","2026-05-24","checkout page tests","saucedemo\checkout-datadriven.spec.ts","",""
"","29470","Verify cancel button in checkout overview page","chromium","2026-05-24","passed","2026-05-24","checkout page tests","saucedemo\checkout.spec.ts","",""
"","28707","Navigate to cart page","chromium","2026-05-24","passed","2026-05-24","Cart page tests","saucedemo\cartpage.spec.ts","",""
"","5703","should show error with locked out credentials","chromium","2026-05-24","passed","2026-05-24","Login Tests","saucedemo\login.spec.ts","",""
"","16151","Add all products to cart and verify cart count","chromium","2026-05-24","passed","2026-05-24","product page tests","saucedemo\products.spec.ts","",""
"","20607","verify order completion flow with data set 3-sekharts 560045","chromium","2026-05-24","passed","2026-05-24","checkout flow test - reading CSV file single data","saucedemo\checkout-csv-data-driven.spec.ts","",""
"","6870","should login with valid credentials","chromium","2026-05-24","passed","2026-05-24","Login Tests","saucedemo\login.spec.ts","",""
"","9578","sort products by price low to high and verify sorting","chromium","2026-05-24","passed","2026-05-24","product page tests","saucedemo\products.spec.ts","",""
"","27218","verify order completion flow","chromium","2026-05-24","failed","2026-05-24","checkout flow test - reading CSV file single data","saucedemo\checkout-csv-data.spec.ts","",""
"","18628","verify order completion flow with data set 2-JaneSmith 54321","chromium","2026-05-24","passed","2026-05-24","checkout page tests","saucedemo\checkout-datadriven.spec.ts","",""
"","27388","click on continue shopping button and verify navigation to product page","chromium","2026-05-24","passed","2026-05-24","Cart page tests","saucedemo\cartpage.spec.ts","",""
"","20490","verify order completion flow with data set 1-JohnDoe 12345","chromium","2026-05-24","passed","2026-05-24","checkout page tests","saucedemo\checkout-datadriven.spec.ts","",""
"","27576","remove product from cart and verify cart count","chromium","2026-05-24","passed","2026-05-24","Cart page tests","saucedemo\cartpage.spec.ts","",""
"","24635","click on checkout button and verify navigation to checkout page","chromium","2026-05-24","passed","2026-05-24","Cart page tests","saucedemo\cartpage.spec.ts","",""
"","27563","verify order completion flow","chromium","2026-05-24","passed","2026-05-24","checkout page tests","saucedemo\checkout.spec.ts","",""
"","26684","verify order completion flow with data set 2-rameshch 560049","chromium","2026-05-24","passed","2026-05-24","checkout flow test - reading CSV file single data","saucedemo\checkout-csv-data-driven.spec.ts","",""
"","13110","Navigate to cart page","chromium","2026-05-24","passed","2026-05-24","product page tests","saucedemo\products.spec.ts","",""
"","21413","should display products and verfy product list","chromium","2026-05-24","passed","2026-05-24","product page tests","saucedemo\products.spec.ts","",""
"","21201","Add products to cart and verify cart count","chromium","2026-05-24","passed","2026-05-24","product page tests","saucedemo\products.spec.ts","",""
"","29217","verify cancel button functionality on checkout page","chromium","2026-05-24","passed","2026-05-24","checkout page tests","saucedemo\checkout.spec.ts","",""
"","7567","should show error with invalid credentials","chromium","2026-05-24","passed","2026-05-24","Login Tests","saucedemo\login.spec.ts","",""
"","16597","Add product by name and verify cart count","chromium","2026-05-24","passed","2026-05-24","product page tests","saucedemo\products.spec.ts","",""
