"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","717","should download a file","chromium","2026-05-24","passed","2026-05-24","Handle downloadFiles","herokuapp/downloadFile.spec.ts","",""
"","663","should download a file","chromium","2026-05-24","passed","2026-05-24","drag and drop scenario","herokuapp/dragAndDrop.spec.ts","",""
"","626","should handle confirm alert","chromium","2026-05-24","passed","2026-05-24","Handle Alerts","herokuapp/handleAlerts.spec.ts","",""
"","714","should combination of keys","chromium","2026-05-24","passed","2026-05-24","Key board action scenario","herokuapp/keyboardActions.spec.ts","",""
"","0","should upload multiple files","chromium","2026-05-24","skipped","2026-05-24","Handle fileupload","herokuapp/fileUpload.spec.ts","",""
"","1205","handle iframes","chromium","2026-05-24","passed","2026-05-24","handle frams","herokuapp/handlesFrames.spec.ts","",""
"","668","handle normal frames","chromium","2026-05-24","passed","2026-05-24","handle frams","herokuapp/handlesFrames.spec.ts","",""
"","948","get started link","chromium","2026-05-24","passed","2026-05-24","","herokuapp/example.spec.ts","",""
"","600","should handle confirm alert with cancel","chromium","2026-05-24","passed","2026-05-24","Handle Alerts","herokuapp/handleAlerts.spec.ts","",""
"","608","should handle simple alert","chromium","2026-05-24","passed","2026-05-24","Handle Alerts","herokuapp/handleAlerts.spec.ts","",""
"","654","has title","chromium","2026-05-24","passed","2026-05-24","","herokuapp/example.spec.ts","",""
"","647","should drag and drop using mouse events","chromium","2026-05-24","passed","2026-05-24","drag and drop scenario","herokuapp/dragAndDrop.spec.ts","",""
"","566","should handle prompt alert","chromium","2026-05-24","passed","2026-05-24","Handle Alerts","herokuapp/handleAlerts.spec.ts","",""
"","659","should handle multiple windows","chromium","2026-05-24","passed","2026-05-24","Handle Multiple Windows","herokuapp/handleMultipleWindows.spec.ts","",""
"","571","keyboard actions","chromium","2026-05-24","passed","2026-05-24","Key board action scenario","herokuapp/keyboardActions.spec.ts","",""
"","603","should handle prompt alert with cancel","chromium","2026-05-24","passed","2026-05-24","Handle Alerts","herokuapp/handleAlerts.spec.ts","",""
"","740","should upload a single file","chromium","2026-05-24","passed","2026-05-24","Handle fileupload","herokuapp/fileUpload.spec.ts","",""
