"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1801","Navigate to cart page","chromium","2026-05-24","passed","2026-05-24","Cart page tests","saucedemo/cartpage.spec.ts","",""
"","1593","Add product by name and verify cart count","chromium","2026-05-24","passed","2026-05-24","product page tests","saucedemo/products.spec.ts","",""
"","1746","remove product from cart and verify cart count","chromium","2026-05-24","passed","2026-05-24","Cart page tests","saucedemo/cartpage.spec.ts","",""
"","1818","Verify cancel button in checkout overview page","chromium","2026-05-24","passed","2026-05-24","checkout page tests","saucedemo/checkout.spec.ts","",""
"","1555","should display products and verfy product list","chromium","2026-05-24","passed","2026-05-24","product page tests","saucedemo/products.spec.ts","",""
"","1883","verify order completion flow with data set 2-JaneSmith 54321","chromium","2026-05-24","passed","2026-05-24","checkout page tests","saucedemo/checkout-datadriven.spec.ts","",""
"","1558","should login with valid credentials","chromium","2026-05-24","passed","2026-05-24","Login Tests","saucedemo/login.spec.ts","",""
"","1629","Remove product by name and verify cart count","chromium","2026-05-24","passed","2026-05-24","product page tests","saucedemo/products.spec.ts","",""
"","1941","verify order completion flow with data set 1-JohnDoe 60543","chromium","2026-05-24","passed","2026-05-24","checkout flow test - reading CSV file single data","saucedemo/checkout-csv-data-driven.spec.ts","",""
"","1713","verify cancel button functionality on checkout page","chromium","2026-05-24","passed","2026-05-24","checkout page tests","saucedemo/checkout.spec.ts","",""
"","1885","verify order completion flow","chromium","2026-05-24","passed","2026-05-24","checkout page tests","saucedemo/checkout.spec.ts","",""
"","1547","Navigate to cart page","chromium","2026-05-24","passed","2026-05-24","product page tests","saucedemo/products.spec.ts","",""
"","536","should show error with invalid credentials","chromium","2026-05-24","passed","2026-05-24","Login Tests","saucedemo/login.spec.ts","",""
"","1739","click on continue shopping button and verify navigation to product page","chromium","2026-05-24","passed","2026-05-24","Cart page tests","saucedemo/cartpage.spec.ts","",""
"","1986","verify order completion flow with data set 1-JohnDoe 12345","chromium","2026-05-24","passed","2026-05-24","checkout page tests","saucedemo/checkout-datadriven.spec.ts","",""
"","1755","click on checkout button and verify navigation to checkout page","chromium","2026-05-24","passed","2026-05-24","Cart page tests","saucedemo/cartpage.spec.ts","",""
"","1871","verify order completion flow with data set 3-sekharts 560045","chromium","2026-05-24","passed","2026-05-24","checkout flow test - reading CSV file single data","saucedemo/checkout-csv-data-driven.spec.ts","",""
"","1935","verify order completion flow with data set 2-rameshch 560049","chromium","2026-05-24","passed","2026-05-24","checkout flow test - reading CSV file single data","saucedemo/checkout-csv-data-driven.spec.ts","",""
"","1903","verify order completion flow with data set 3-AliceJohnson 67890","chromium","2026-05-24","passed","2026-05-24","checkout page tests","saucedemo/checkout-datadriven.spec.ts","",""
"","536","should show error with locked out credentials","chromium","2026-05-24","passed","2026-05-24","Login Tests","saucedemo/login.spec.ts","",""
"","1605","sort products by price low to high and verify sorting","chromium","2026-05-24","passed","2026-05-24","product page tests","saucedemo/products.spec.ts","",""
"","1796","verify order completion flow","chromium","2026-05-24","failed","2026-05-24","checkout flow test - reading CSV file single data","saucedemo/checkout-csv-data.spec.ts","",""
"","1648","Add products to cart and verify cart count","chromium","2026-05-24","passed","2026-05-24","product page tests","saucedemo/products.spec.ts","",""
"","1793","Add all products to cart and verify cart count","chromium","2026-05-24","passed","2026-05-24","product page tests","saucedemo/products.spec.ts","",""
